ID	LINK
SLKA_252.19	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25219_93421C9E.pnach
SLKA_252.25	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25225_FDA2F2DF.pnach
SLKA_252.26	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25226_B24520AD.pnach
SLKA_252.30	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25230_FD3969E1.pnach
SLKA_252.32	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25232_4DF3A440.pnach
SLKA_252.34	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25234_6435675C.pnach
SLKA_252.43	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25243_BB70F989.pnach
SLKA_252.46	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25246_35DEA711.pnach
SLKA_252.51	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25251_C69ACB6F.pnach
SLKA_252.52	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25252_22425C19.pnach
SLKA_252.54	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25254_115A184D.pnach
SLKA_252.55	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25255_1453B44C.pnach
SLKA_252.57	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25257_48793741.pnach
SLKA_252.58	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25258_F1E2D375.pnach
SLKA_252.64	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25264_94A0C34F.pnach
SLKA_252.68	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25268_6325DDDD.pnach
SLKA_252.72	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25272_1C713A5C.pnach
SLKA_252.77	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25277_03E58308.pnach
SLKA_252.79	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25279_C139D620.pnach
SLKA_252.82	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25282_B31E8440.pnach
SLKA_252.91	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25291_BD11A6EE.pnach
SLKA_252.96	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25296_2B8BBCBB.pnach
SLKA_252.99	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25299_CA2073B3.pnach
SLKA_253.07	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25307_9669948F.pnach
SLKA_253.13	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25313_9CD1A85C.pnach
SLKA_253.16	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25316_55764AFD.pnach
SLKA_253.28	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25328_950876FA.pnach
SLKA_253.30	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25330_A1F79484.pnach
SLKA_253.37	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25337_EA9B3268.pnach
SLKA_253.43	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25343_E8BF0F97.pnach
SLKA_253.45	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25345_EF8BBFE6.pnach
SLKA_253.46	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25346_A1CBBE50.pnach
SLKA_253.49	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25349_865109E4.pnach
SLKA_253.51	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25351_9CF2D6C3.pnach
SLKA_253.53	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25353_B0D195EF.pnach
SLKA_253.54	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25354_3EBABC9C.pnach
SLKA_253.58	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25358_92037CC4.pnach
SLKA_253.60	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25360_3894622B.pnach
SLKA_253.62	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25362_C8B06625.pnach
SLKA_253.64	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25364_74694096.pnach
SLKA_253.65	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25365_9D8201FB.pnach
SLKA_253.66	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25366_E94C9A02.pnach
SLKA_253.68	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25368_9554A03C.pnach
SLKA_253.72	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25372_688E77CC.pnach
SLKA_253.79	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25379_C6C71A64.pnach
SLKA_253.80	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25380_DA8488A4.pnach
SLKA_253.84	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25384_A49563FA.pnach
SLKA_253.88	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25388_E446C9F9.pnach
SLKA_253.90	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25390_4A7E3B36.pnach
SLKA_253.94	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25394_13A41CA1.pnach
SLKA_253.95	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25395_600A44DC.pnach
SLKA_253.97	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25397_E29C09A3.pnach
SLKA_253.99	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25399_B47431E3.pnach
SLKA_254.01	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25401_56A593F3.pnach
SLKA_254.07	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25407_9B0E119F.pnach
SLKA_254.18	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25418_02A1CB4D.pnach
SLKA_254.43	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25443_009E5458.pnach
SLKA_254.63	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25463_A101C8D5.pnach
SLKA_254.77	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-25477_49EB0A85.pnach
SLKA_645.40	https://github.com/PCSX2/pcsx2_patches/blob/main/patches/SLKA-64540_900D62AA.pnach
